SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
1,0.6173517629999999,41,4,0.167588827,15000.0,14,1,1,0,2.0
1,0.084175501,58,0,0.388850795,14583.0,12,0,3,0,1.0
1,0.30775739399999996,47,0,0.181313158,18900.0,10,0,2,0,3.0
1,0.003265195,65,0,0.30461589699999997,6000.0,6,0,2,0,0.0
1,0.018516603,38,0,5870.0,2554.0,6,0,1,0,0.0
1,0.032119358,80,0,1020.0,2554.0,7,0,1,0,0.0
1,0.9999998999999999,48,0,1.1528025709999998,2800.0,6,0,2,0,2.0
1,0.199732383,66,0,0.319950777,6500.0,10,0,1,0,0.0
1,0.037981203,50,0,0.710292667,3040.0,7,0,1,0,1.0
1,0.23648522,37,0,0.249862652,9100.0,7,0,2,0,3.0
1,0.638361638,63,0,18.0,1159.0,3,0,0,0,0.0
1,0.034915446,56,0,0.236531861,6700.0,16,0,1,0,2.0
0,0.9999998999999999,24,0,232.0,1159.0,3,1,0,0,0.0
1,0.075587653,74,0,951.0,2554.0,5,0,1,0,0.0
1,0.002624672,27,0,0.08447888,4000.0,5,0,0,0,0.0
1,0.9999998999999999,42,3,0.09176984699999999,9610.0,5,0,0,0,2.0
1,0.0,69,0,0.0,5356.0,2,0,0,0,1.0
1,0.078997743,43,0,0.230487195,18000.0,10,0,1,0,2.0
1,0.0,48,0,0.5748560460000001,4167.0,13,0,1,0,1.0
1,0.031446107,34,0,0.069733249,4760.0,5,0,0,0,0.0
1,0.009761573,50,0,0.22458083399999998,6500.0,6,0,1,0,0.0
1,0.043308967999999996,65,0,1666.0,2554.0,8,0,1,0,0.0
1,0.038666667,25,0,38.0,1159.0,3,0,0,0,0.0
0,0.177817425,45,0,0.672944131,11150.0,7,0,6,0,3.0
1,0.0,46,1,0.943815988,2651.0,10,0,1,0,0.0
1,0.39551648799999994,32,0,0.28465884399999997,2300.0,5,0,0,0,0.0
1,0.056693272999999995,60,0,0.163484692,11627.0,8,0,1,0,0.0
1,0.9296697979999999,51,1,0.562251746,7300.0,20,0,1,0,1.0
1,0.530761087,68,0,0.09216506099999999,5500.0,4,0,0,0,0.0
1,0.9999998999999999,47,1,0.098239513,4600.0,1,1,0,0,1.0
1,0.7525412429999999,52,1,0.08145580599999999,7500.0,2,0,0,0,0.0
1,0.0015332310000000001,60,0,0.0,2000.0,3,0,0,0,0.0
1,1.3766233769999998,38,0,0.00819836,5000.0,5,0,0,0,2.0
1,0.952852357,48,0,2657.0,8311.0,6,0,2,0,0.0
1,0.48193206,39,1,0.29127280699999997,4548.0,14,0,0,0,2.0
1,0.141581805,60,0,0.653789004,5383.0,15,0,2,0,0.0
1,0.12087912099999999,23,0,0.146577832,1650.0,2,0,0,0,0.0
1,0.0016856660000000002,32,0,0.012278548,5700.0,3,0,0,0,0.0
1,0.717052618,60,0,0.3608,6249.0,10,0,0,0,3.0
1,0.500350606,70,0,0.64455924,6000.0,14,0,2,0,0.0
1,0.38097460200000005,54,0,0.33120438,6575.0,6,0,1,0,1.0
1,0.9999998999999999,46,0,1519.0,2554.0,1,2,1,0,0.0
1,0.085914882,54,0,0.397460999,15832.0,13,0,2,0,0.0
1,0.59138153,32,0,0.289663285,6800.0,17,0,0,0,2.0
1,0.445974286,61,0,0.535496103,9493.0,15,0,1,0,0.0
1,0.5584443920000001,40,0,3034.0,8311.0,8,0,2,0,0.0
1,0.147313965,48,0,0.579513299,5300.0,10,0,1,0,2.0
1,0.17852567100000002,57,0,692.0,1159.0,4,0,0,0,0.0
1,0.9999998999999999,57,0,592.0,1159.0,4,3,0,0,0.0
1,0.562983915,59,0,0.274787535,6000.0,10,0,0,0,0.0
1,0.522190497,58,1,1939.0,1159.0,10,0,0,0,0.0
1,0.003446875,60,0,0.250587314,16600.0,14,0,2,0,2.0
1,0.230197843,53,0,0.32267093199999997,2500.0,5,0,2,0,1.0
1,0.365281736,51,0,219.0,1159.0,1,0,0,0,0.0
1,0.198933435,52,0,0.120432321,13600.0,5,0,1,0,3.0
1,0.255489022,22,0,0.002497918,1200.0,1,0,0,0,0.0
